INDEX,TAG,DATE,TIME,LATITUDE N/S,LONGITUDE E/W,HEIGHT,SPEED,HEADING
1,T,230513,140940,52.8351687N,1.3119993W,67,0.7,124
2,T,230513,140941,52.8351684N,1.3119993W,67,0.7,124
3,T,230513,140941,52.8351699N,1.3119997W,67,0.7,124
4,T,230513,140941,52.8351700N,1.3119999W,67,0.7,124
5,T,230513,140941,52.8351700N,1.3119999W,67,0.7,124
6,T,230513,140941,52.8351700N,1.3119999W,67,0.7,124
7,T,230513,140942,52.8351684N,1.3119993W,67,0.0,124
8,T,230513,140942,52.8351683N,1.3120002W,67,0.0,124
9,T,230513,140942,52.8351683N,1.3120002W,67,0.0,124
10,T,230513,140942,52.8351683N,1.3120002W,67,0.0,124
11,T,230513,140942,52.8351683N,1.3120002W,67,0.0,124
12,T,230513,140943,52.8351684N,1.3119993W,67,0.1,124
13,T,230513,140943,52.8351684N,1.3119993W,67,0.1,124
14,T,230513,140943,52.8351684N,1.3119993W,67,0.1,124
15,T,230513,140943,52.8351684N,1.3119994W,67,0.1,124
16,T,230513,140943,52.8351684N,1.3119993W,67,0.1,124
17,T,230513,140944,52.8351684N,1.3119993W,67,0.0,124
18,T,230513,140944,52.8351686N,1.3119995W,67,0.0,124
19,T,230513,140944,52.8351686N,1.3119995W,67,0.0,124
20,T,230513,140944,52.8351686N,1.3119995W,67,0.0,124
21,T,230513,140944,52.8351686N,1.3119995W,67,0.0,124
22,T,230513,140945,52.8351684N,1.3119993W,67,0.5,124
23,T,230513,140945,52.8351684N,1.3119999W,67,0.5,124
24,T,230513,140945,52.8351686N,1.3120000W,67,0.5,124
25,T,230513,140945,52.8351684N,1.3120000W,67,0.5,124
26,T,230513,140945,52.8351686N,1.3120000W,67,0.5,124
27,T,230513,140946,52.8351684N,1.3119993W,67,0.5,124
28,T,230513,140946,52.8351684N,1.3119996W,67,0.5,124
29,T,230513,140946,52.8351684N,1.3119996W,67,0.5,124
30,T,230513,140946,52.8351684N,1.3119996W,67,0.5,124
31,T,230513,140946,52.8351684N,1.3119996W,67,0.5,124
32,T,230513,140947,52.8351684N,1.3119993W,67,0.5,124
33,T,230513,140947,52.8351688N,1.3119993W,67,0.5,124
34,T,230513,140947,52.8351688N,1.3119993W,67,0.5,124
35,T,230513,140947,52.8351688N,1.3119993W,67,0.5,124
36,T,230513,140947,52.8351688N,1.3119992W,67,0.5,124
37,T,230513,140948,52.8351684N,1.3119993W,67,0.7,124
38,T,230513,140948,52.8351684N,1.3119997W,67,0.7,124
39,T,230513,140948,52.8351686N,1.3119997W,67,0.7,124
40,T,230513,140948,52.8351684N,1.3119997W,67,0.7,124
41,T,230513,140948,52.8351684N,1.3119997W,67,0.7,124
42,T,230513,140949,52.8351684N,1.3119993W,67,0.5,124
43,T,230513,140949,52.8351683N,1.3119995W,67,0.5,124
44,T,230513,140949,52.8351684N,1.3119995W,67,0.5,124
45,T,230513,140949,52.8351684N,1.3119995W,67,0.5,124
46,T,230513,140949,52.8351684N,1.3119995W,67,0.5,124
47,T,230513,140950,52.8351684N,1.3119993W,67,0.7,124
48,T,230513,140950,52.8351688N,1.3119993W,67,0.7,124
49,T,230513,140950,52.8351688N,1.3119993W,67,0.7,124
50,T,230513,140950,52.8351688N,1.3119992W,67,0.7,124
51,T,230513,140950,52.8351688N,1.3119993W,67,0.7,124
52,T,230513,140951,52.8351684N,1.3119993W,67,0.7,124
53,T,230513,140951,52.8351688N,1.3119993W,67,0.7,124
54,T,230513,140951,52.8351688N,1.3119993W,67,0.7,124
55,T,230513,140951,52.8351688N,1.3119993W,67,0.7,124
56,T,230513,140951,52.8351688N,1.3119992W,67,0.7,124
57,T,230513,140952,52.8351684N,1.3119993W,67,0.5,124
58,T,230513,140952,52.8351687N,1.3119993W,67,0.5,124
59,T,230513,140952,52.8351687N,1.3119993W,67,0.5,124
60,T,230513,140952,52.8351687N,1.3119993W,67,0.5,124
61,T,230513,140952,52.8351687N,1.3119993W,67,0.5,124
62,T,230513,140953,52.8351684N,1.3119993W,67,0.5,124
63,T,230513,140953,52.8351687N,1.3119993W,67,0.5,124
64,T,230513,140953,52.8351688N,1.3119994W,67,0.5,124
65,T,230513,140953,52.8351688N,1.3119993W,67,0.5,124
66,T,230513,140953,52.8351687N,1.3119993W,67,0.5,124
67,T,230513,140954,52.8351687N,1.3119993W,67,0.7,124
68,T,230513,140954,52.8351687N,1.3119993W,67,0.7,124
69,T,230513,140954,52.8351688N,1.3119993W,67,0.7,124
70,T,230513,140954,52.8351687N,1.3119993W,67,0.7,124
71,T,230513,140955,52.8351684N,1.3119993W,67,0.5,124
72,T,230513,140955,52.8351684N,1.3119994W,67,0.5,124
73,T,230513,140955,52.8351684N,1.3119994W,67,0.5,124
74,T,230513,140955,52.8351683N,1.3119993W,67,0.5,124
75,T,230513,140955,52.8351684N,1.3119993W,67,0.5,124
76,T,230513,140956,52.8351684N,1.3119993W,67,0.0,124
77,T,230513,140956,52.8351688N,1.3119993W,67,0.0,124
78,T,230513,140956,52.8351688N,1.3119992W,67,0.0,124
