INDEX,TAG,DATE,TIME,LATITUDE N/S,LONGITUDE E/W,HEIGHT,SPEED,HEADING
1,T,230505,143803,52.4036225N,1.5037654W,55,6.1,261
2,T,230505,143804,52.4036314N,1.5038019W,56,7.4,260
3,T,230505,143805,52.4036394N,1.5038334W,57,7.5,258
4,T,230505,143806,52.4036443N,1.5038565W,58,5.7,258
5,T,230505,143959,52.4034091N,1.5037342W,25,1.4,161
6,T,230505,144002,52.4033827N,1.5037178W,24,1.6,163
7,T,230505,144003,52.4033814N,1.5037183W,24,2.4,167
8,T,230505,144004,52.4033809N,1.5037200W,24,1.6,167
9,T,230505,144005,52.4033793N,1.5037230W,24,1.6,167
10,T,230505,144008,52.4033775N,1.5037269W,24,1.4,168
11,T,230505,144011,52.4033775N,1.5037269W,24,1.1,165
12,T,230505,144017,52.4033775N,1.5037269W,25,1.1,163
13,T,230505,144023,52.4033775N,1.5037269W,27,1.1,162
14,T,230505,144031,52.4033775N,1.5037269W,31,1.6,163
15,T,230505,144032,52.4033794N,1.5037555W,33,2.2,164
16,T,230505,144033,52.4033856N,1.5037909W,35,4.8,167
17,T,230505,144034,52.4033955N,1.5038326W,37,2.7,168
18,T,230505,144035,52.4034055N,1.5038505W,39,3.8,169
19,T,230505,144036,52.4034152N,1.5038639W,41,4,169
20,T,230505,144037,52.4034211N,1.5038710W,42,3.3,169
21,T,230505,144102,52.4036380N,1.5039575W,62,1.2,180
22,T,230505,144107,52.4036891N,1.5039441W,63,2.2,185
23,T,230505,144108,52.4037023N,1.5039273W,63,3.5,185
24,T,230505,144110,52.4037156N,1.5039105W,63,1.1,186
25,T,230505,144216,52.4038585N,1.5038952W,64,1.2,202
26,T,230505,144233,52.4038585N,1.5038952W,65,1.1,10
27,T,230505,144234,52.4038593N,1.5038936W,66,1.1,11
28,T,230505,145029,52.4038394N,1.5038262W,88,1.2,214
29,T,230505,145030,52.4038324N,1.5038291W,88,2.4,190
30,T,230505,145031,52.4038255N,1.5038319W,88,2,190
31,T,230505,152746,52.4038330N,1.5039049W,86,1.8,172
32,T,230505,152747,52.4038357N,1.5039106W,86,1.8,158
33,T,230505,152748,52.4038385N,1.5039165W,86,1.4,158
34,T,230505,152750,52.4038413N,1.5039223W,86,1.2,146
35,T,230505,153611,52.4039059N,1.5038185W,100,1.1,181
36,T,230505,153612,52.4038972N,1.5038059W,100,1.6,164
